Row,Time Code,Peak Nr,Component,BGD 44,BGD 45,BGD 46,Ampl  44,Ampl  45,Ampl  46,Area 44,Area 45,Area 46,R 45CO2/44CO2,R 46CO2/44CO2,d 13C/12C,d 18O/16O
22,2022/07/13 14:10:40,5,,1.8,2.0,2.5,1138,1303,1576,22.27,2.55,0.926,0.0119863,0.0040202,0.124,0.172
22,2022/07/13 14:10:40,6,,1.7,1.9,2.3,1138,1303,1577,22.293,2.553,0.926,0.0119849,0.0040196,0,0
23,2022/07/13 14:19:20,4,,1.5,1.7,2.2,1785,2093,2570,36.648,4.289,1.583,0.0122467,0.0041773,21.977,39.247
23,2022/07/13 14:19:20,5,,2.1,2.4,3.0,1138,1303,1576,22.264,2.55,0.925,0.0119857,0.0040195,0.076,-0.014
23,2022/07/13 14:19:20,6,,1.8,2.1,2.5,1138,1303,1576,22.287,2.553,0.926,0.0119849,0.0040196,0,0
24,2022/07/13 14:28:00,4,,1.5,1.8,2.2,1807,2112,2601,37.04,4.32,1.6,0.0122013,0.0041772,17.916,39.215
24,2022/07/13 14:28:00,5,,2.1,2.4,2.9,1138,1304,1577,22.246,2.548,0.925,0.0119858,0.0040198,0.08,0.051
24,2022/07/13 14:28:00,6,,1.8,2.1,2.5,1138,1303,1577,22.297,2.554,0.927,0.0119849,0.0040196,0,0
25,2022/07/13 14:36:41,4,,1.6,1.8,2.3,1528,1786,2202,31.222,3.642,1.351,0.0122043,0.0041824,18.139,40.509
25,2022/07/13 14:36:41,5,,2.0,2.2,2.7,1138,1303,1577,22.26,2.55,0.926,0.0119857,0.0040198,0.073,0.056
25,2022/07/13 14:36:41,6,,1.8,1.9,2.4,1138,1303,1577,22.272,2.551,0.926,0.0119849,0.0040196,0,0
26,2022/07/13 14:45:22,4,,1.6,1.8,2.2,232,270,339,4.606,0.534,0.202,0.012119,0.0042363,10.025,53.948
26,2022/07/13 14:45:22,5,,1.4,1.5,1.8,1137,1303,1577,22.245,2.549,0.925,0.0119855,0.0040199,0.051,0.074
26,2022/07/13 14:45:22,6,,1.4,1.6,2.0,1137,1303,1576,22.259,2.551,0.926,0.0119849,0.0040196,0,0
27,2022/07/13 14:54:02,4,,1.3,1.4,1.8,1137,1303,1576,22.281,2.554,0.927,0.0119858,0.00402,0.085,0.108
27,2022/07/13 14:54:02,5,,1.4,1.5,2.0,1137,1303,1576,22.271,2.552,0.926,0.0119849,0.0040196,0,0
28,2022/07/13 15:02:43,4,,1.5,1.8,2.2,123,143,179,2.404,0.28,0.106,0.0121946,0.0042454,16.701,56.201
28,2022/07/13 15:02:43,5,,1.3,1.4,1.8,1137,1303,1576,22.247,2.55,0.925,0.0119853,0.0040197,0.039,0.041
28,2022/07/13 15:02:43,6,,1.4,1.5,1.9,1137,1303,1576,22.255,2.551,0.926,0.0119849,0.0040196,0,0
29,2022/07/13 15:11:24,4,,1.5,1.7,2.1,62,71,91,1.211,0.139,0.053,0.0120386,0.0042614,2.599,60.214
29,2022/07/13 15:11:24,5,,1.3,1.4,1.6,1138,1304,1577,22.241,2.55,0.925,0.0119856,0.0040197,0.067,0.025
29,2022/07/13 15:11:24,6,,1.4,1.5,1.7,1138,1304,1577,22.278,2.554,0.927,0.0119849,0.0040196,0,0
30,2022/07/13 15:20:05,4,,1.5,1.7,2.0,2108,2467,3035,43.737,5.109,1.89,0.012211,0.0041761,18.796,38.957
30,2022/07/13 15:20:05,5,,2.2,2.5,3.2,1137,1304,1577,22.25,2.551,0.926,0.0119849,0.0040196,0.006,0.009
30,2022/07/13 15:20:05,6,,1.9,2.1,2.6,1137,1303,1576,22.293,2.556,0.927,0.0119849,0.0040196,0,0
31,2022/07/13 15:28:45,4,,1.6,1.9,2.3,1687,1974,2429,34.879,4.075,1.508,0.0122141,0.0041767,19.063,39.082
31,2022/07/13 15:28:45,5,,2.0,2.3,3.0,1138,1305,1578,22.275,2.554,0.927,0.0119862,0.0040196,0.118,0.002
31,2022/07/13 15:28:45,6,,1.8,2.0,2.6,1138,1305,1578,22.306,2.557,0.928,0.0119849,0.0040196,0,0
32,2022/07/13 15:37:26,4,,1.6,1.8,2.1,1688,1975,2433,34.916,4.08,1.511,0.0122131,0.0041801,18.944,39.931
32,2022/07/13 15:37:26,5,,2.0,2.3,3.0,1138,1305,1578,22.285,2.556,0.927,0.0119854,0.0040198,0.047,0.064
32,2022/07/13 15:37:26,6,,1.8,2.0,2.6,1138,1305,1578,22.299,2.557,0.928,0.0119849,0.0040196,0,0
33,2022/07/13 15:46:07,4,,1.5,1.7,2.2,1305,1527,1886,26.621,3.113,1.155,0.0122202,0.0041904,19.492,42.505
33,2022/07/13 15:46:07,5,,1.8,2.1,2.6,1138,1305,1579,22.256,2.552,0.926,0.0119858,0.00402,0.078,0.108
33,2022/07/13 15:46:07,6,,1.7,2.0,2.4,1138,1306,1578,22.28,2.555,0.927,0.0119849,0.0040196,0,0
34,2022/07/13 15:54:47,4,,1.5,1.8,2.3,1853,2167,2673,38.433,4.485,1.663,0.0121911,0.0041786,16.994,39.583
34,2022/07/13 15:54:47,5,,2.1,2.4,3.0,1138,1306,1579,22.266,2.554,0.927,0.0119851,0.0040196,0.02,0.008
34,2022/07/13 15:54:47,6,,1.8,2.0,2.5,1138,1306,1579,22.314,2.56,0.929,0.0119849,0.0040196,0,0
35,2022/07/13 16:03:27,4,,1.6,1.8,2.2,1784,2093,2574,36.82,4.313,1.594,0.0122366,0.0041816,21.036,40.308
35,2022/07/13 16:03:27,5,,2.1,2.3,2.9,1138,1306,1579,22.286,2.557,0.928,0.0119864,0.0040206,0.127,0.263
35,2022/07/13 16:03:27,6,,1.8,2.0,2.7,1139,1306,1579,22.303,2.559,0.928,0.0119849,0.0040196,0,0
36,2022/07/13 16:12:08,4,,1.6,1.8,2.1,1403,1642,2027,28.81,3.368,1.25,0.0122112,0.004189,18.695,42.153
36,2022/07/13 16:12:08,5,,1.9,2.1,2.8,1138,1305,1579,22.259,2.554,0.927,0.011986,0.0040198,0.1,0.059
