Row,Time Code,Peak Nr,BGD 28,BGD 29,Area 28,Area 29,Ampl  28,R 29N2/28N2,d 15N/14N
40,2022/07/13 16:46:49,1,18.8,14.6,35.781,2.625,1838,0.0073568,0.052
40,2022/07/13 16:46:49,2,18.7,14.6,36.007,2.642,1838,0.0073564,0
40,2022/07/13 16:46:49,3,19.1,14.8,23.128,1.711,1109,0.0074162,8.134
41,2022/07/13 16:55:29,1,18.7,14.5,35.763,2.624,1839,0.0073567,0.038
41,2022/07/13 16:55:29,2,18.7,14.5,36.057,2.646,1838,0.0073564,0
41,2022/07/13 16:55:29,3,19.1,14.7,22.331,1.653,1060,0.0074215,8.843
42,2022/07/13 17:04:09,1,18.7,14.5,35.725,2.621,1838,0.0073566,0.023
42,2022/07/13 17:04:09,2,18.7,14.5,36.034,2.644,1839,0.0073564,0
42,2022/07/13 17:04:09,3,19.1,14.8,35.562,2.633,1702,0.0074229,9.042
43,2022/07/13 17:12:49,1,18.8,14.6,35.846,2.63,1840,0.0073564,0.006
43,2022/07/13 17:12:49,2,18.8,14.6,36.056,2.645,1840,0.0073564,0
43,2022/07/13 17:12:49,3,19.1,14.8,31.692,2.346,1526,0.0074214,8.834
44,2022/07/13 17:21:30,1,18.8,14.6,35.807,2.627,1840,0.0073567,0.035
44,2022/07/13 17:21:30,2,18.7,14.5,36.034,2.644,1840,0.0073564,0
44,2022/07/13 17:21:30,3,19.1,14.7,22.409,1.657,1063,0.0074122,7.582
45,2022/07/13 17:30:11,1,18.6,14.5,35.759,2.624,1839,0.0073568,0.048
45,2022/07/13 17:30:11,2,18.5,14.4,36.008,2.642,1838,0.0073564,0
45,2022/07/13 17:30:11,3,19.0,14.7,22.324,1.652,1068,0.0074201,8.665
46,2022/07/13 17:38:50,1,18.7,14.5,35.769,2.625,1839,0.0073566,0.029
46,2022/07/13 17:38:50,2,18.7,14.5,36.041,2.644,1839,0.0073564,0
46,2022/07/13 17:38:50,3,19.0,14.7,64.46,4.809,3113,0.0074793,16.705
47,2022/07/13 17:47:31,1,18.9,14.7,35.805,2.627,1840,0.0073565,0.016
47,2022/07/13 17:47:31,2,18.8,14.6,36.057,2.646,1840,0.0073564,0
47,2022/07/13 17:47:31,3,19.1,14.8,6.476,0.479,299,0.0074176,8.321
48,2022/07/13 17:56:11,1,18.6,14.4,35.824,2.629,1841,0.0073566,0.024
48,2022/07/13 17:56:11,2,18.6,14.4,36.029,2.644,1840,0.0073564,0
48,2022/07/13 17:56:11,3,19.0,14.7,1.442,0.106,61,0.0074023,6.244
49,2022/07/13 18:04:51,1,18.5,14.3,35.774,2.625,1841,0.0073567,0.038
49,2022/07/13 18:04:51,2,18.5,14.3,36.082,2.647,1841,0.0073564,0
49,2022/07/13 18:04:51,3,18.9,14.6,10.245,0.767,485,0.0075101,20.895
